Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_gc
SRR3001750.500	0.0	50.0	500.0	0.0	46.0
SRR3001751.500	0.0	101.0	500.0	18.1818181818	42.0
SRR3001752.500	0.0	50.0	500.0	18.1818181818	49.0
SRR3001753.500	0.0	101.0	500.0	9.09090909091	46.0
SRR3001754.500	0.2	101.0	500.0	9.09090909091	45.0
SRR3001755.500	0.0	51.0	500.0	9.09090909091	46.0
SRR3001756.500	0.0	50.0	500.0	0.0	44.0
SRR3001757.500	0.2	101.0	500.0	9.09090909091	42.0
SRR3001758.500	0.2	101.0	500.0	18.1818181818	43.0
SRR3001759.500	0.0	50.0	500.0	9.09090909091	45.0
SRR3001760.500	0.0	101.0	500.0	18.1818181818	44.0
SRR3001761.500	0.4	50.0	500.0	9.09090909091	44.0
SRR3001762.500	0.2	101.0	500.0	18.1818181818	45.0
SRR3001763.500	0.0	101.0	500.0	18.1818181818	45.0
SRR3001764.500	0.0	51.0	500.0	9.09090909091	47.0
SRR3001765.500	0.2	50.0	500.0	9.09090909091	44.0
SRR3001766.500	0.8	101.0	500.0	9.09090909091	43.0
SRR3001767.500	0.6	101.0	500.0	9.09090909091	41.0
SRR3001768.500	0.0	51.0	500.0	9.09090909091	45.0
SRR3001769.500	0.2	51.0	500.0	9.09090909091	45.0
SRR3001770.500	0.0	51.0	500.0	9.09090909091	47.0
SRR3001771.500	0.0	51.0	500.0	9.09090909091	47.0
SRR3001772.500	0.0	51.0	500.0	9.09090909091	47.0
SRR3001773.500	0.0	51.0	500.0	9.09090909091	45.0
SRR3001774.500	0.0	51.0	500.0	9.09090909091	43.0
SRR3001775.500	0.4	51.0	500.0	18.1818181818	45.0
SRR3001776.500	0.0	51.0	500.0	18.1818181818	43.0
