Module	Section	Sample Name	Source
FastQC	all_sections	SRR3001773.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001773.500_fastqc.zip
FastQC	all_sections	SRR3001762.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001762.500_fastqc.zip
FastQC	all_sections	SRR3001764.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001764.500_fastqc.zip
FastQC	all_sections	SRR3001775.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001775.500_fastqc.zip
FastQC	all_sections	SRR3001767.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001767.500_fastqc.zip
FastQC	all_sections	SRR3001755.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001755.500_fastqc.zip
FastQC	all_sections	SRR3001757.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001757.500_fastqc.zip
FastQC	all_sections	SRR3001752.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001752.500_fastqc.zip
FastQC	all_sections	SRR3001769.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001769.500_fastqc.zip
FastQC	all_sections	SRR3001776.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001776.500_fastqc.zip
FastQC	all_sections	SRR3001761.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001761.500_fastqc.zip
FastQC	all_sections	SRR3001763.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001763.500_fastqc.zip
FastQC	all_sections	SRR3001760.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001760.500_fastqc.zip
FastQC	all_sections	SRR3001771.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001771.500_fastqc.zip
FastQC	all_sections	SRR3001758.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001758.500_fastqc.zip
FastQC	all_sections	SRR3001751.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001751.500_fastqc.zip
FastQC	all_sections	SRR3001766.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001766.500_fastqc.zip
FastQC	all_sections	SRR3001759.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001759.500_fastqc.zip
FastQC	all_sections	SRR3001774.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001774.500_fastqc.zip
FastQC	all_sections	SRR3001754.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001754.500_fastqc.zip
FastQC	all_sections	SRR3001753.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001753.500_fastqc.zip
FastQC	all_sections	SRR3001765.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001765.500_fastqc.zip
FastQC	all_sections	SRR3001772.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001772.500_fastqc.zip
FastQC	all_sections	SRR3001770.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001770.500_fastqc.zip
FastQC	all_sections	SRR3001768.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001768.500_fastqc.zip
FastQC	all_sections	SRR3001756.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001756.500_fastqc.zip
FastQC	all_sections	SRR3001750.500	/Users/sfchen/Documents/2018_Su/Applied-Bioinformatics-HW/Sample_fastq/SRR3001750.500_fastqc.zip
