Sample	bp_processed	r_with_adapters	quality_trimmed	r_processed	percent_trimmed	bp_written
SRR3001750.500	25000	174	2242	500	9.944	22514
SRR3001751.500	50500	212	576	500	2.5801980198	49197
SRR3001752.500	25000	142	3041	500	12.984	21754
SRR3001753.500	50500	167	360	500	1.17227722772	49908
SRR3001754.500	50500	172	497	500	1.44752475248	49769
SRR3001755.500	25500	172	212	500	1.74509803922	25055
SRR3001756.500	25000	181	2163	500	9.62	22595
SRR3001757.500	50500	167	221	500	0.867326732673	50062
SRR3001758.500	50500	184	310	500	1.21584158416	49886
SRR3001759.500	25000	165	2652	500	11.58	22105
SRR3001760.500	50500	204	408	500	1.82376237624	49579
SRR3001761.500	25000	166	2151	500	9.504	22624
SRR3001762.500	50500	183	406	500	1.32079207921	49833
SRR3001763.500	50500	160	571	500	1.5900990099	49697
SRR3001764.500	25500	160	139	500	1.4431372549	25132
SRR3001765.500	25000	193	2439	500	10.84	22290
SRR3001766.500	50500	179	304	500	1.06336633663	49963
SRR3001767.500	50500	178	299	500	1.06534653465	49962
SRR3001768.500	25500	176	87	500	1.27450980392	25175
SRR3001769.500	25500	149	147	500	1.38039215686	25148
SRR3001770.500	25500	191	172	500	1.69019607843	25069
SRR3001771.500	25500	149	201	500	1.82745098039	25034
SRR3001772.500	25500	177	133	500	1.72156862745	25061
SRR3001773.500	25500	168	81	500	1.21960784314	25189
SRR3001774.500	25500	175	129	500	1.53725490196	25108
SRR3001775.500	25500	180	125	500	1.46274509804	25127
SRR3001776.500	25500	177	76	500	1.23137254902	25186
