Sample	adapter_content	Sequences flagged as poor quality	sequence_duplication_levels	avg_sequence_length	Encoding	per_base_sequence_quality	sequence_length_distribution	Sequence length	File type	basic_statistics	per_sequence_gc_content	Total Sequences	per_base_n_content	per_base_sequence_content	overrepresented_sequences	%GC	total_deduplicated_percentage	Filename	per_tile_sequence_quality	per_sequence_quality_scores
SRR3001750.500	pass	0.0	pass	48.7102396514	Sanger / Illumina 1.9	pass	warn	24-50	Conventional base calls	pass	fail	459.0	warn	fail	warn	46.0	100.0	SRR3001750.500_trimmed.fq	pass	pass
SRR3001751.500	pass	0.0	pass	97.8957915832	Sanger / Illumina 1.9	pass	warn	29-101	Conventional base calls	pass	fail	499.0	warn	fail	warn	42.0	100.0	SRR3001751.500_trimmed.fq	pass	pass
SRR3001752.500	pass	0.0	pass	47.9394618834	Sanger / Illumina 1.9	pass	warn	24-50	Conventional base calls	pass	fail	446.0	warn	fail	warn	47.0	100.0	SRR3001752.500_trimmed.fq	pass	pass
SRR3001753.500	pass	0.0	pass	99.096	Sanger / Illumina 1.9	pass	warn	47-101	Conventional base calls	pass	warn	500.0	warn	fail	warn	46.0	100.0	SRR3001753.500_trimmed.fq	pass	pass
SRR3001754.500	pass	0.0	pass	98.832	Sanger / Illumina 1.9	pass	warn	29-101	Conventional base calls	pass	fail	500.0	pass	fail	warn	45.0	99.8	SRR3001754.500_trimmed.fq	pass	pass
SRR3001755.500	pass	0.0	pass	50.1823647295	Sanger / Illumina 1.9	pass	warn	25-51	Conventional base calls	pass	warn	499.0	warn	fail	warn	46.0	100.0	SRR3001755.500_trimmed.fq	pass	pass
SRR3001756.500	pass	0.0	pass	48.3060344828	Sanger / Illumina 1.9	pass	warn	25-50	Conventional base calls	pass	pass	464.0	warn	fail	warn	44.0	100.0	SRR3001756.500_trimmed.fq	pass	pass
SRR3001757.500	pass	0.0	pass	100.124	Sanger / Illumina 1.9	pass	warn	60-101	Conventional base calls	pass	fail	500.0	warn	fail	warn	42.0	99.8	SRR3001757.500_trimmed.fq	pass	pass
SRR3001758.500	pass	0.0	pass	99.08	Sanger / Illumina 1.9	pass	warn	36-101	Conventional base calls	pass	fail	500.0	warn	fail	warn	43.0	99.8	SRR3001758.500_trimmed.fq	pass	pass
SRR3001759.500	pass	0.0	pass	48.7745535714	Sanger / Illumina 1.9	pass	warn	26-50	Conventional base calls	pass	fail	448.0	warn	fail	warn	45.0	100.0	SRR3001759.500_trimmed.fq	pass	pass
