Sample	Cutadapt_mqc-generalstats-cutadapt-percent_trimmed	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-total_sequences	FastQC_mqc-generalstats-fastqc-percent_gc
SRR3001750.500	9.944	18.1818181818	0.0	48.7102396514	459.0	46.0
SRR3001751.500	2.5801980198	18.1818181818	0.0	97.8957915832	499.0	42.0
SRR3001752.500	12.984	18.1818181818	0.0	47.9394618834	446.0	47.0
SRR3001753.500	1.17227722772	9.09090909091	0.0	99.096	500.0	46.0
SRR3001754.500	1.44752475248	18.1818181818	0.2	98.832	500.0	45.0
SRR3001755.500	1.74509803922	9.09090909091	0.0	50.1823647295	499.0	46.0
SRR3001756.500	9.62	9.09090909091	0.0	48.3060344828	464.0	44.0
SRR3001757.500	0.867326732673	18.1818181818	0.2	100.124	500.0	42.0
SRR3001758.500	1.21584158416	18.1818181818	0.2	99.08	500.0	43.0
SRR3001759.500	11.58	18.1818181818	0.0	48.7745535714	448.0	45.0
SRR3001760.500	1.82376237624	18.1818181818	0.0	99.158	500.0	44.0
SRR3001761.500	9.504	18.1818181818	0.431034482759	48.3318965517	464.0	43.0
SRR3001762.500	1.32079207921	18.1818181818	0.2	99.666	500.0	45.0
SRR3001763.500	1.5900990099	18.1818181818	0.0	98.983935743	498.0	45.0
SRR3001764.500	1.4431372549	9.09090909091	0.0	50.3734939759	498.0	47.0
SRR3001765.500	10.84	18.1818181818	0.21978021978	48.4857142857	455.0	44.0
SRR3001766.500	1.06336633663	18.1818181818	0.8	99.24	500.0	43.0
SRR3001767.500	1.06534653465	18.1818181818	0.6	99.204	500.0	41.0
SRR3001768.500	1.27450980392	18.1818181818	0.0	50.35	500.0	45.0
SRR3001769.500	1.38039215686	18.1818181818	0.2	50.296	500.0	45.0
SRR3001770.500	1.69019607843	9.09090909091	0.0	50.2024048096	499.0	47.0
SRR3001771.500	1.82745098039	18.1818181818	0.0	50.2228915663	498.0	47.0
SRR3001772.500	1.72156862745	9.09090909091	0.0	50.2224448898	499.0	47.0
SRR3001773.500	1.21960784314	9.09090909091	0.0	50.378	500.0	45.0
SRR3001774.500	1.53725490196	9.09090909091	0.0	50.216	500.0	43.0
SRR3001775.500	1.46274509804	18.1818181818	0.4	50.254	500.0	45.0
SRR3001776.500	1.23137254902	18.1818181818	0.0	50.372	500.0	43.0
