file_name	file_size
SRR3001750.500_trimmed.sam 	 67K
SRR3001750.500_trimmed.bam 	 23K
SRR3001750.500_trimmed.srt.bam 	 23K
SRR3001750.500_trimmed.srt.dupr.bam 	 23K
SRR3001751.500_trimmed.sam 	 124K
SRR3001751.500_trimmed.bam 	 39K
SRR3001751.500_trimmed.srt.bam 	 38K
SRR3001751.500_trimmed.srt.dupr.bam 	 38K
SRR3001752.500_trimmed.sam 	 67K
SRR3001752.500_trimmed.bam 	 23K
SRR3001752.500_trimmed.srt.bam 	 22K
SRR3001752.500_trimmed.srt.dupr.bam 	 22K
SRR3001753.500_trimmed.sam 	 125K
SRR3001753.500_trimmed.bam 	 37K
SRR3001753.500_trimmed.srt.bam 	 36K
SRR3001753.500_trimmed.srt.dupr.bam 	 36K
SRR3001754.500_trimmed.sam 	 125K
SRR3001754.500_trimmed.bam 	 36K
SRR3001754.500_trimmed.srt.bam 	 35K
SRR3001754.500_trimmed.srt.dupr.bam 	 35K
SRR3001755.500_trimmed.sam 	 76K
SRR3001755.500_trimmed.bam 	 23K
SRR3001755.500_trimmed.srt.bam 	 22K
SRR3001755.500_trimmed.srt.dupr.bam 	 22K
SRR3001756.500_trimmed.sam 	 69K
SRR3001756.500_trimmed.bam 	 24K
SRR3001756.500_trimmed.srt.bam 	 24K
SRR3001756.500_trimmed.srt.dupr.bam 	 24K
SRR3001757.500_trimmed.sam 	 127K
SRR3001757.500_trimmed.bam 	 36K
SRR3001757.500_trimmed.srt.bam 	 35K
SRR3001757.500_trimmed.srt.dupr.bam 	 34K
SRR3001758.500_trimmed.sam 	 127K
SRR3001758.500_trimmed.bam 	 36K
SRR3001758.500_trimmed.srt.bam 	 35K
SRR3001758.500_trimmed.srt.dupr.bam 	 35K
SRR3001759.500_trimmed.sam 	 67K
SRR3001759.500_trimmed.bam 	 23K
SRR3001759.500_trimmed.srt.bam 	 22K
SRR3001759.500_trimmed.srt.dupr.bam 	 22K
SRR3001760.500_trimmed.sam 	 123K
SRR3001760.500_trimmed.bam 	 40K
SRR3001760.500_trimmed.srt.bam 	 39K
SRR3001760.500_trimmed.srt.dupr.bam 	 39K
SRR3001761.500_trimmed.sam 	 71K
SRR3001761.500_trimmed.bam 	 23K
SRR3001761.500_trimmed.srt.bam 	 23K
SRR3001761.500_trimmed.srt.dupr.bam 	 22K
SRR3001762.500_trimmed.sam 	 126K
SRR3001762.500_trimmed.bam 	 36K
SRR3001762.500_trimmed.srt.bam 	 36K
SRR3001762.500_trimmed.srt.dupr.bam 	 35K
SRR3001763.500_trimmed.sam 	 125K
SRR3001763.500_trimmed.bam 	 36K
SRR3001763.500_trimmed.srt.bam 	 35K
SRR3001763.500_trimmed.srt.dupr.bam 	 35K
SRR3001764.500_trimmed.sam 	 75K
SRR3001764.500_trimmed.bam 	 23K
SRR3001764.500_trimmed.srt.bam 	 22K
SRR3001764.500_trimmed.srt.dupr.bam 	 22K
SRR3001765.500_trimmed.sam 	 68K
SRR3001765.500_trimmed.bam 	 23K
SRR3001765.500_trimmed.srt.bam 	 23K
SRR3001765.500_trimmed.srt.dupr.bam 	 23K
SRR3001766.500_trimmed.sam 	 127K
SRR3001766.500_trimmed.bam 	 36K
SRR3001766.500_trimmed.srt.bam 	 35K
SRR3001766.500_trimmed.srt.dupr.bam 	 34K
SRR3001767.500_trimmed.sam 	 129K
SRR3001767.500_trimmed.bam 	 37K
SRR3001767.500_trimmed.srt.bam 	 35K
SRR3001767.500_trimmed.srt.dupr.bam 	 35K
SRR3001768.500_trimmed.sam 	 77K
SRR3001768.500_trimmed.bam 	 22K
SRR3001768.500_trimmed.srt.bam 	 21K
SRR3001768.500_trimmed.srt.dupr.bam 	 21K
SRR3001769.500_trimmed.sam 	 79K
SRR3001769.500_trimmed.bam 	 22K
SRR3001769.500_trimmed.srt.bam 	 21K
SRR3001769.500_trimmed.srt.dupr.bam 	 21K
SRR3001770.500_trimmed.sam 	 76K
SRR3001770.500_trimmed.bam 	 22K
SRR3001770.500_trimmed.srt.bam 	 21K
SRR3001770.500_trimmed.srt.dupr.bam 	 21K
SRR3001771.500_trimmed.sam 	 75K
SRR3001771.500_trimmed.bam 	 22K
SRR3001771.500_trimmed.srt.bam 	 21K
SRR3001771.500_trimmed.srt.dupr.bam 	 21K
SRR3001772.500_trimmed.sam 	 75K
SRR3001772.500_trimmed.bam 	 22K
SRR3001772.500_trimmed.srt.bam 	 22K
SRR3001772.500_trimmed.srt.dupr.bam 	 22K
SRR3001773.500_trimmed.sam 	 78K
SRR3001773.500_trimmed.bam 	 22K
SRR3001773.500_trimmed.srt.bam 	 22K
SRR3001773.500_trimmed.srt.dupr.bam 	 22K
SRR3001774.500_trimmed.sam 	 80K
SRR3001774.500_trimmed.bam 	 22K
SRR3001774.500_trimmed.srt.bam 	 21K
SRR3001774.500_trimmed.srt.dupr.bam 	 21K
SRR3001775.500_trimmed.sam 	 78K
SRR3001775.500_trimmed.bam 	 22K
SRR3001775.500_trimmed.srt.bam 	 21K
SRR3001775.500_trimmed.srt.dupr.bam 	 21K
SRR3001776.500_trimmed.sam 	 79K
SRR3001776.500_trimmed.bam 	 22K
SRR3001776.500_trimmed.srt.bam 	 21K
SRR3001776.500_trimmed.srt.dupr.bam 	 21K
